,title,href,time,pay
68,管理学院2021级统计本科班开展“万里归国路 拳拳中国情”爱国教育观影主题团日活动,/2022/1010/c2314a574905/page.htm,2022/1010,50
69,提升安全防范意识 守卫幸福美好生活——管理学院2021级统计专业本科班防诈骗主题班会,/2022/1008/c2314a574460/page.htm,2022/1008,30
70,管理学院开展“民族团结一家亲 喜迎党的二十大”  劳动教育实践主题团日活动,/2022/1003/c2314a573053/page.htm,2022/1003,30
71,管理学院2022级博士班召开国庆节主题班会,/2022/0930/c2314a572540/page.htm,2022/0930,30
72,2022级管理学院本科1班入学教育系列活动之参观图书馆,/2022/1010/c2314a574969/page.htm,2022/1010,30
73,2022级管理学院本科1班入学教育系列活动之班会选举班委,/2022/1010/c2314a574968/page.htm,2022/1010,50
74,2022级管理学院本科1班入学教育系列活动之军训总结大会,/2022/1010/c2314a574967/page.htm,2022/1010,50
75,2022级管理学院本科1班入学教育系列活动之新生活力课程——社团介绍,/2022/1010/c2314a574966/page.htm,2022/1010,30
76,管理学院研究生新生教育培训会顺利举办,/2022/0922/c2314a570777/page.htm,2022/0922,30
77,2022级管理学院本科1班入学教育系列活动之优秀学长经验介绍,/2022/1010/c2314a574964/page.htm,2022/1010,30
78,2022级管理学院本科1班入学教育系列活动之党组织相关知识介绍,/2022/1010/c2314a574963/page.htm,2022/1010,30
79,2022级管理学院本科1班入学教育系列活动之图书馆资源使用介绍,/2022/1010/c2314a574962/page.htm,2022/1010,50
80,2022级管理学院本科1班入学教育系列活动之学习习近平总书记考察科大精神,/2022/1010/c2314a574950/page.htm,2022/1010,30
81,中国科大管理学院MBA2202班全体同学参加管理学院线上培训会,/2022/0922/c2314a570682/page.htm,2022/0922,30
82,2022级管理学院本科1班入学教育系列活动之学习观看老科学家微电影,/2022/1010/c2314a574961/page.htm,2022/1010,30
83,2022级管理学院本科1班入学教育系列活动之统计与金融专业新生宣讲会,/2022/1010/c2314a574960/page.htm,2022/1010,30
84,2022级管理学院本科1班入学教育系列活动之班级演讲比赛选拔,/2022/1010/c2314a574959/page.htm,2022/1010,50
85,2022级管理学院本科1班入学教育系列活动之学生家庭经济状况调查、奖助学金体系介绍,/2022/1010/c2314a574958/page.htm,2022/1010,50
86,中国科学技术大学管理学院研究生会2022-2023学年第一学期工作交流会顺利召开,/2022/0921/c2314a570593/page.htm,2022/0921,70
87,2022级管理学院本科1班入学教育系列活动之心理健康普查,/2022/1010/c2314a574953/page.htm,2022/1010,30
88,2022级管理学院本科1班入学教育系列活动之讲授学籍学习管理条例,/2022/1010/c2314a574952/page.htm,2022/1010,30
89,2022级管理学院本科1班入学教育系列活动之学唱校歌、团歌,/2022/1010/c2314a574951/page.htm,2022/1010,30
90,2022级管理学院本科1班入学教育系列活动之体检,/2022/1010/c2314a574949/page.htm,2022/1010,50
91,2022级管理学院本科1班入学教育系列活动之学院新生见面会,/2022/1010/c2314a574948/page.htm,2022/1010,30
92,2022级管理学院本科1班入学教育系列活动之  班会,/2022/1010/c2314a574946/page.htm,2022/1010,30
93,管理学院统计与金融系2021级统计班班会暨中秋联谊会顺利举办,/2022/0919/c2314a570105/page.htm,2022/0919,70
94,管理学院2022级经济管理试验班2班举办喜迎中秋贺双节晚会,/2022/0919/c2314a570085/page.htm,2022/0919,30
95,2022级管理学院本科1班入学教育系列活动之讲解违纪处分条例和安全教育,/2022/1010/c2314a574957/page.htm,2022/1010,30
96,2022级管理学院本科1班入学教育系列活动之管理科学专业新生宣讲会,/2022/1010/c2314a574956/page.htm,2022/1010,30
97,2022级管理学院本科1班入学教育系列活动之工商管理专业新生宣讲会,/2022/1010/c2314a574955/page.htm,2022/1010,50
98,2022级管理学院本科1班入学教育系列活动之保密教育,/2022/1010/c2314a574954/page.htm,2022/1010,30
99,管理学院2022年院级团校培训顺利举办,/2022/0916/c2314a569964/page.htm,2022/0916,50
100,欢聚一堂 共迎中秋  ——记管理学院2022级本科1班中秋晚会,/2022/0913/c2314a568059/page.htm,2022/0913,50
101,中国科学技术大学管理学院代表队在第七届日日顺创客训练营中再获佳绩,/2022/0908/c2314a567225/page.htm,2022/0908,50
102,第二十二届管理学院学生会招新大会圆满举办,/2022/0906/c2314a567030/page.htm,2022/0906,50
103,2022级管理学院管理科学与工程专业宣讲会顺利召开,/2022/0906/c2314a567029/page.htm,2022/0906,50
104,管理学院举行2022级本科新生开学典礼,/2022/0902/c2314a566353/page.htm,2022/0902,30
105,管理学院工商管理系2021级硕士班团支部主题团日活动——学习习近平总书记在庆祝中国共产主义青年团成立100周年大会上重要讲话精神,/2022/0719/c2314a562946/page.htm,2022/0719,30
106,管理学院工商管理系2021级硕士班团支部主题团日活动——“深入学习党章，争做优秀青年”,/2022/0719/c2314a562945/page.htm,2022/0719,30
107,管理学院2019级金融专业本科班举办2022年春季学期期末班会,/2022/0628/c2314a561098/page.htm,2022/0628,70
108,强化劳动教育 践行社会主义核心价值观  管理学院与数学科学学院本科班级联合举办“美食与生活”劳动实践课堂,/2022/0627/c2314a560944/page.htm,2022/0627,30
109,管理学院召开团学骨干六月工作例会,/2022/0611/c2314a558045/page.htm,2022/0611,70
110,管理学院2019级金融专业本科班5·25心理健康教育主题活动,/2022/0606/c2314a557497/page.htm,2022/0606,30
111,管理学院2019级金融专业本科班举办2022年春季学期5月份班会,/2022/0606/c2314a557435/page.htm,2022/0606,30
112,管理学院2020级统计本科班团支部母亲节特别活动：寄出我的爱,/2022/0526/c2314a556080/page.htm,2022/0526,70
